user_id,loyalty,price_sensitivity
user_0,0.14,0.496
user_1,0.039,0.145
user_2,0.369,0.486
user_3,0.339,0.423
user_4,0.309,0.128
user_5,0.292,0.658
user_6,0.126,0.752
user_7,0.284,0.604
user_8,0.292,0.573
user_9,0.68,0.035
user_10,0.308,0.374
user_11,0.673,0.338
user_12,0.753,0.75
user_13,0.734,0.135
user_14,0.198,0.575
user_15,0.402,0.437
user_16,0.12,0.378
user_17,0.189,0.174
user_18,0.447,0.25
user_19,0.186,0.435
user_20,0.272,0.286
user_21,0.691,0.188
user_22,0.073,0.43
user_23,0.425,0.49
user_24,0.399,0.199
user_25,0.375,0.195
user_26,0.603,0.58
user_27,0.524,0.233
user_28,0.363,0.427
user_29,0.013,0.582
user_30,0.043,0.788
user_31,0.137,0.167
user_32,0.362,0.504
user_33,0.057,0.438
user_34,0.648,0.249
user_35,0.056,0.705
user_36,0.38,0.451
user_37,0.009,0.611
user_38,0.435,0.622
user_39,0.377,0.317
user_40,0.385,0.645
user_41,0.249,0.626
user_42,0.345,0.287
user_43,0.164,0.532
user_44,0.223,0.245
user_45,0.288,0.508
user_46,0.4,0.199
user_47,0.396,0.385
user_48,0.229,0.711
user_49,0.552,0.566
user_50,0.302,0.361
user_51,0.507,0.46
user_52,0.113,0.673
user_53,0.033,0.695
user_54,0.259,0.119
user_55,0.157,0.737
user_56,0.679,0.614
user_57,0.185,0.131
user_58,0.322,0.26
user_59,0.325,0.434
user_60,0.189,0.894
user_61,0.094,0.519
user_62,0.076,0.433
user_63,0.359,0.403
user_64,0.416,0.493
user_65,0.144,0.317
user_66,0.38,0.359
user_67,0.238,0.438
user_68,0.273,0.186
user_69,0.125,0.185
user_70,0.289,0.529
user_71,0.493,0.652
user_72,0.389,0.129
user_73,0.058,0.728
user_74,0.062,0.452
user_75,0.18,0.399
user_76,0.499,0.341
user_77,0.418,0.434
user_78,0.328,0.149
user_79,0.124,0.23
user_80,0.486,0.236
user_81,0.205,0.507
user_82,0.332,0.399
user_83,0.37,0.328
user_84,0.425,0.079
user_85,0.236,0.505
user_86,0.181,0.695
user_87,0.621,0.629
user_88,0.055,0.806
user_89,0.303,0.612
user_90,0.272,0.742
user_91,0.158,0.602
user_92,0.155,0.549
user_93,0.628,0.499
user_94,0.299,0.433
user_95,0.307,0.462
user_96,0.135,0.264
user_97,0.533,0.598
user_98,0.035,0.337
user_99,0.287,0.574
user_100,0.563,0.253
user_101,0.17,0.385
user_102,0.25,0.568
user_103,0.35,0.118
user_104,0.341,0.412
user_105,0.249,0.048
user_106,0.145,0.091
user_107,0.339,0.779
user_108,0.449,0.309
user_109,0.192,0.559
user_110,0.271,0.453
user_111,0.425,0.345
user_112,0.286,0.087
user_113,0.383,0.223
user_114,0.377,0.374
user_115,0.124,0.271
user_116,0.44,0.202
user_117,0.209,0.589
user_118,0.163,0.155
user_119,0.389,0.289
user_120,0.327,0.759
user_121,0.109,0.841
user_122,0.262,0.26
user_123,0.362,0.481
user_124,0.081,0.167
user_125,0.278,0.583
user_126,0.282,0.743
user_127,0.388,0.596
user_128,0.05,0.381
user_129,0.542,0.204
user_130,0.369,0.55
user_131,0.226,0.824
user_132,0.309,0.771
user_133,0.14,0.205
user_134,0.434,0.549
user_135,0.201,0.297
user_136,0.75,0.196
user_137,0.213,0.265
user_138,0.211,0.791
user_139,0.304,0.101
user_140,0.344,0.628
user_141,0.194,0.684
user_142,0.647,0.639
user_143,0.424,0.226
user_144,0.26,0.095
user_145,0.332,0.486
user_146,0.204,0.476
user_147,0.505,0.597
user_148,0.235,0.132
user_149,0.161,0.39
user_150,0.353,0.691
user_151,0.232,0.439
user_152,0.114,0.425
user_153,0.102,0.696
user_154,0.095,0.358
user_155,0.211,0.462
user_156,0.457,0.288
user_157,0.192,0.186
user_158,0.198,0.779
user_159,0.317,0.308
user_160,0.09,0.442
user_161,0.578,0.67
user_162,0.16,0.15
user_163,0.166,0.291
user_164,0.337,0.373
user_165,0.391,0.498
user_166,0.229,0.516
user_167,0.153,0.408
user_168,0.32,0.454
user_169,0.121,0.561
user_170,0.221,0.474
user_171,0.197,0.3
user_172,0.31,0.216
user_173,0.582,0.603
user_174,0.246,0.478
user_175,0.478,0.512
user_176,0.157,0.262
user_177,0.3,0.841
user_178,0.143,0.243
user_179,0.417,0.21
user_180,0.326,0.378
user_181,0.276,0.399
user_182,0.452,0.556
user_183,0.266,0.466
user_184,0.166,0.076
user_185,0.338,0.295
user_186,0.257,0.767
user_187,0.449,0.104
user_188,0.181,0.609
user_189,0.373,0.463
user_190,0.399,0.25
user_191,0.27,0.649
user_192,0.023,0.199
user_193,0.178,0.122
user_194,0.255,0.619
user_195,0.446,0.121
user_196,0.125,0.461
user_197,0.475,0.066
user_198,0.18,0.276
user_199,0.179,0.288
user_200,0.193,0.656
user_201,0.6,0.489
user_202,0.225,0.475
user_203,0.031,0.125
user_204,0.328,0.202
user_205,0.392,0.294
user_206,0.041,0.475
user_207,0.487,0.343
user_208,0.133,0.41
user_209,0.145,0.646
user_210,0.453,0.547
user_211,0.517,0.388
user_212,0.347,0.318
user_213,0.104,0.489
user_214,0.165,0.236
user_215,0.236,0.554
user_216,0.213,0.376
user_217,0.459,0.482
user_218,0.031,0.506
user_219,0.088,0.699
user_220,0.562,0.26
user_221,0.199,0.545
user_222,0.15,0.68
user_223,0.034,0.661
user_224,0.069,0.352
user_225,0.123,0.413
user_226,0.092,0.436
user_227,0.187,0.748
user_228,0.664,0.413
user_229,0.259,0.206
user_230,0.096,0.394
user_231,0.046,0.495
user_232,0.377,0.628
user_233,0.156,0.136
user_234,0.139,0.445
user_235,0.195,0.15
user_236,0.098,0.41
user_237,0.126,0.297
user_238,0.401,0.488
user_239,0.49,0.426
user_240,0.238,0.47
user_241,0.447,0.576
user_242,0.13,0.417
user_243,0.127,0.672
user_244,0.407,0.242
user_245,0.316,0.401
user_246,0.096,0.259
user_247,0.309,0.479
user_248,0.35,0.289
user_249,0.43,0.165
user_250,0.336,0.061
user_251,0.238,0.668
user_252,0.1,0.652
user_253,0.289,0.308
user_254,0.583,0.354
user_255,0.198,0.171
user_256,0.261,0.574
user_257,0.546,0.57
user_258,0.193,0.91
user_259,0.431,0.309
user_260,0.322,0.286
user_261,0.152,0.131
user_262,0.316,0.504
user_263,0.27,0.523
user_264,0.016,0.638
user_265,0.319,0.352
user_266,0.552,0.75
user_267,0.471,0.395
user_268,0.281,0.441
user_269,0.225,0.244
user_270,0.124,0.223
user_271,0.054,0.513
user_272,0.078,0.436
user_273,0.266,0.757
user_274,0.319,0.697
