product_id,seller,category,price,final_quality,rating_count
product_0,seller_25,screen_guard,207,0.654,2
product_1,seller_11,mouse,2415,0.787,1
product_2,seller_23,headphones,7378,0.674,3
product_3,seller_26,earphones,4832,0.71,6
product_4,seller_0,stand,2358,0.163,0
product_5,seller_1,laptop_bag,889,0.55,1
product_6,seller_27,smartwatch,16956,0.507,1
product_7,seller_25,mouse,1809,0.363,2
product_8,seller_11,headphones,5157,0.68,2
product_9,seller_4,laptop,51646,0.84,0
product_10,seller_19,headphones,5119,0.6,1
product_11,seller_7,mobile_cover,910,0.706,1
product_12,seller_11,mobile_cover,725,0.866,2
product_13,seller_5,mouse,2311,0.525,0
product_14,seller_15,screen_guard,741,0.772,4
product_15,seller_1,screen_guard,451,0.432,2
product_16,seller_5,mouse,1999,0.272,1
product_17,seller_5,tablet,59801,0.476,1
product_18,seller_29,keyboard,5224,0.635,3
product_19,seller_17,watch_strap,1305,0.517,3
product_20,seller_20,tablet,59335,0.617,0
product_21,seller_15,mobile_cover,436,0.533,2
product_22,seller_20,mobile_cover,1314,0.597,2
product_23,seller_8,mobile,43818,0.638,2
product_24,seller_22,headphones,3084,0.396,2
product_25,seller_7,watch_strap,1433,0.316,1
product_26,seller_27,tablet,51118,0.642,1
product_27,seller_22,screen_guard,185,0.53,3
product_28,seller_4,watch_strap,546,0.476,3
product_29,seller_20,screen_guard,301,0.88,1
product_30,seller_17,mouse,1167,0.658,2
product_31,seller_13,headphones,3343,0.664,5
product_32,seller_29,mobile_cover,416,0.707,3
product_33,seller_28,laptop_bag,2483,0.426,1
product_34,seller_8,charger,2150,0.567,3
product_35,seller_28,laptop,64408,0.284,1
product_36,seller_27,stand,3851,0.708,1
product_37,seller_14,keyboard,3428,0.641,6
product_38,seller_29,earphones,4135,0.611,5
product_39,seller_25,smartwatch,10209,0.397,2
product_40,seller_28,smartwatch,23634,0.367,4
product_41,seller_1,earphones,4539,0.487,3
product_42,seller_16,stand,2625,0.874,4
product_43,seller_14,watch_strap,663,0.467,2
product_44,seller_27,earphones,2613,0.769,4
product_45,seller_27,mobile,15583,0.704,2
product_46,seller_8,earphones,3302,0.718,2
product_47,seller_11,screen_guard,620,0.504,4
product_48,seller_18,mouse,709,0.196,1
product_49,seller_9,laptop,84853,0.342,2
product_50,seller_6,laptop,49825,0.796,2
product_51,seller_19,headphones,8120,0.56,2
product_52,seller_8,laptop,67431,0.469,1
product_53,seller_6,screen_guard,501,0.751,5
product_54,seller_11,tablet,53247,0.4,1
product_55,seller_3,laptop,70853,0.318,2
product_56,seller_21,charger,1874,0.76,3
product_57,seller_25,mouse,2316,0.595,2
product_58,seller_1,stand,3598,0.86,7
product_59,seller_3,smartwatch,27305,0.711,0
product_60,seller_6,charger,1903,0.693,4
